Sales Report for Hopin Express
Report for 3 Months Commencing Wednesday 1st October 2025

All Wholesalers,1414 Products Sold for Wholesaler
Alcohol,196 Products Sold in Category
Alcohol Beer,38 Products Sold in Sub Category
Barcode,Issue Number,Description,Tax,Price,Qty Sold,Sales,VAT,Cost Value,Gr Profit,GM
="8906065030971",,"Karachai Almond Biscuits",0.00%,3.99,6,23.94,0.00,18.00,5.94,24.8%
="80310549",,"Kind Happy Hippo Haz T1",0.00%,0.65,3,1.95,0.00,1.48,0.47,24.2%
="50237890",,"Kp Original Choc Dips",0.00%,0.99,6,5.85,0.00,3.98,1.87,32.0%
="8901719925139",,"Parle G Family Pack 800G",0.00%,1.99,13,25.68,0.00,17.64,8.04,31.3%
="8901719404412",,"Parle Hide & Seek Caffe Mocha ",0.00%,0.69,9,5.81,0.00,4.20,1.61,27.7%
="8901719104046",,"Parle Hide & Seek Chocolate Ch",0.00%,0.69,19,12.64,0.00,8.87,3.77,29.9%
="8901719656828",,"Parle Hide & Seek Fab Chocolat",0.00%,0.69,22,14.51,0.00,10.27,4.24,29.2%
="8901719656613",,"Parle Hide & Seek Fab Orange B",0.00%,0.69,17,11.45,0.00,7.93,3.52,30.7%
="8901719656712",,"Parle Hide & Seek Fab Strawber",0.00%,0.69,8,5.42,0.00,3.73,1.69,31.1%
="8901719925115",,"Parle Parle-G 79.9G",0.00%,0.20-0.29,22,5.87,0.00,3.06,2.81,47.9%
="8901719101625",,"Parle Rusk Biscuits 200G",0.00%,0.99,14,13.72,0.00,13.86,-0.14,-1.0%
="8906065032678",,"Pista Biscuits",0.00%,3.99,5,19.95,0.00,15.00,4.95,24.8%
="8691707059099",,"Solen Luppo Cake Bite Caramel ",20.00%,1.99,1,1.99,0.33,1.25,0.41,24.7%
="8691707058580",,"Solen Luppo Cake Bite Pistachi",20.00%,1.99,5,9.95,1.66,0.00,0.00,0.0%
="8901725132873",,"Sunfeast Dark Fantasy Choco Fi",0.00%,0.79,26,20.47,0.00,20.54,-0.07,-0.3%
="5901356072473",,"Tago Caramel Wafer Rolls",0.00%,1.19,2,2.38,0.00,1.70,0.68,28.6%
="5901356070974",,"Tago Cocoa Cre Wafer Rol",0.00%,1.19,4,4.76,0.00,3.00,1.76,37.0%
="5901356070981",,"Tago Coconut Wafer Rol",0.00%,1.19,1,1.19,0.00,0.75,0.44,37.0%
="5901356072732",,"Tago Pistach Wafer Rolls",0.00%,1.49,1,1.49,0.00,0.79,0.70,46.9%
="5901356070967",,"Tago Van Cream Wafer Rol",0.00%,1.19,3,3.57,0.00,2.55,1.02,28.6%
Sub Category Totals for Groceries Biscuit,,,,,262,306.12,1.99,227.86,67.97,25.1%

Groceries Biscuit PM,29 Products Sold in Sub Category
Barcode,Issue Number,Description,Tax,Price,Qty Sold,Sales,VAT,Cost Value,Gr Profit,GM
="4017100264795",,"Bahlsen Pick Up 3Pk 1.25",0.00%,1.25,1,1.25,0.00,0.90,0.35,28.0%
="7622202245442",,"Cad Milk Choc Fing 1.65",20.00%,1.65,12,19.80,3.30,13.09,3.41,20.7%
="7622202245428",,"Cadb Crunchy Melts 1.65",0.00%,1.65,2,3.30,0.00,2.46,0.84,25.6%
="5053990177868",,"Chz-It Snap D Che 1.25",0.00%,1.25,4,4.00,0.00,3.00,1.00,25.1%
="5010035001274",,"Foxs M/Choc Chunk 2.20",0.00%,2.20,3,6.60,0.00,4.23,2.37,35.9%
="5010035000345",,"Foxs Party Rings Pm 1.29",0.00%,1.29,7,9.03,0.00,6.00,3.03,33.5%
="5010035001243",,"Foxs Rocky Caramel 1.49",20.00%,1.49,1,1.49,0.25,0.74,0.50,40.3%
="5010035001236",,"Foxs Rocky Choc Pm1.49",20.00%,1.49,2,2.98,0.50,1.41,1.08,43.4%
="5000168039732",,"Jacob M/C Smoky Bbq 1.25",0.00%,1.25,3,3.75,0.00,2.20,1.55,41.4%
="5000168039770",,"Jacobs Crin C&O Pm1.25",0.00%,1.25,1,1.25,0.00,0.73,0.52,41.4%
="0072417199707",,"Jam Dodgers Orig Pm1.29",0.00%,1.29,6,7.16,0.00,5.36,1.80,25.2%
="80830986",,"Kinder Cards T2 Pm 65P",0.00%,0.65,3,1.95,0.00,1.50,0.45,23.1%
="8445291523906",,"Kit Kat 6Pk 1.69",20.00%,1.69,1,1.69,0.28,1.06,0.35,24.8%
="5410126926026",,"Lotus Biscoff 1.85",0.00%,1.85,6,11.10,0.00,7.37,3.73,33.6%
="7622202299711",,"Lu Petit Choc Bisc 1.89",20.00%,1.89,2,3.78,0.63,2.40,0.75,23.8%
="0072417330025",,"M/L C/Chip Cookie 1.59",0.00%,1.59,4,6.36,0.00,3.95,2.41,37.9%
="5000168006383",,"Mcv Bourbon Creams P1.35",0.00%,1.35,7,9.45,0.00,6.89,2.56,27.1%
="5000168006260",,"Mcv Choc Digestive2.25",20.00%,2.25,3,6.75,1.12,4.11,1.51,26.9%
="5000168006024",,"Mcv Digestives Orig 1.99",0.00%,1.99,1,1.99,0.00,1.25,0.74,37.2%
="5000168005713",,"Mcv Gold Billion Bar 79P",20.00%,0.79,36,28.44,4.74,17.12,6.58,27.8%
="5000168008905",,"Mcvities Penguin Mlk1.49",20.00%,1.49,2,2.98,0.50,1.80,0.68,27.6%
="5000168005980",,"Mcvities Rich Tea 1.99",0.00%,1.99,7,13.93,0.00,10.08,3.85,27.7%
="0072417330018",,"Ml Dbl Choc Cookie 1.59",0.00%,1.59,2,3.18,0.00,1.83,1.35,42.4%
="8445290650528",,"Nest Blue Rib 6 Pk 1.25",20.00%,1.25,1,1.25,0.21,0.75,0.29,28.1%
="8000500423509",,"Nutella Biscuits T3 89P",20.00%,0.89,18,15.49,2.58,9.99,2.91,22.6%
="7622202245664",,"Oreo Original Pm1.29",0.00%,1.29,11,14.19,0.00,9.89,4.30,30.3%
="0072417203367",,"Pat S/Bread Finger 99P",0.00%,0.99,7,6.93,0.00,2.64,4.29,62.0%
="0072417332364",,"Wagon Wheels Jamm Pm1.49",20.00%,1.49,2,2.98,0.50,1.75,0.73,29.6%
="0072417332371",,"Wagon Wheels Pm1.49",20.00%,1.49,1,1.49,0.25,0.87,0.37,29.6%
Sub Category Totals for Groceries Biscuit PM,,,,,156,194.54,14.85,125.36,54.33,30.2%

Groceries Bread,13 Products Sold in Sub Category
Barcode,Issue Number,Description,Tax,Price,Qty Sold,Sales,VAT,Cost Value,Gr Profit,GM
="5027952011200",,"Bs Brown Sliced Bread",0.00%,2.45,1,2.21,0.00,1.72,0.49,22.1%
="5027952011187",,"Bs White Sliced Loaf",0.00%,2.45,1,2.45,0.00,1.72,0.73,29.8%
="8410087414874",,"Dulcesol Wholemeal Loaf",0.00%,1.89,1,1.70,0.00,1.39,0.31,18.2%
="5059630005966",,"Go Local White Bread",0.00%,1.89,8,14.94,0.00,10.52,4.42,29.6%
="8906077360660",,"Jaimin Black Pepper Papad 200G",0.00%,1.19,1,1.19,0.00,0.90,0.29,24.5%
="8906077361964",,"Jaimin Golgappa Panipuri Puchk",0.00%,1.89,7,13.23,0.00,9.90,3.33,25.1%
="8908000870048",,"Jaimin Plain Khakhra 200G",0.00%,0.99-1.39,35,38.46,0.00,26.25,12.21,31.7%
="8906077360691",,"Jaimin Punjabi Papad 200G",0.00%,1.19,14,16.66,0.00,12.59,4.07,24.5%
="0628451068044",,"Mom Made Paratha Methi 400G",0.00%,2.29,20,45.48,0.00,34.00,11.48,25.2%
="0628451068051",,"Mom Made Plain Paratha 400G",0.00%,2.29,3,6.87,0.00,5.10,1.77,25.8%
="0628451068075",,"Mom Made Spicy Paratha 400G",0.00%,2.29,11,24.87,0.00,18.70,6.17,24.8%
="0628451068020",,"Mom Made Whole Wheat Roti 400G",0.00%,2.29,8,17.53,0.00,13.60,3.93,22.4%
="5027952008736",,"St P Sliced Brioche Loaf",0.00%,3.85,2,7.32,0.00,6.00,1.32,18.1%
Sub Category Totals for Groceries Bread,,,,,112,192.91,0.00,142.39,50.52,26.2%

Groceries Bread PM,2 Products Sold in Sub Category
Barcode,Issue Number,Description,Tax,Price,Qty Sold,Sales,VAT,Cost Value,Gr Profit,GM
="5059630004297",,"Gl Sesme Burgr Bun 1.69",0.00%,1.69,2,3.22,0.00,2.15,1.07,33.2%
="5059630004976",,"Gl T/Hand Ref Sack 1.39",0.00%,1.39,5,6.95,0.00,2.71,4.24,61.1%
Sub Category Totals for Groceries Bread PM,,,,,7,10.17,0.00,4.86,5.31,52.2%

Groceries Cake,12 Products Sold in Sub Category
Barcode,Issue Number,Description,Tax,Price,Qty Sold,Sales,VAT,Cost Value,Gr Profit,GM
="5060703733273",,"Biscella Sponge Cake Bar",0.00%,1.00,1,1.00,0.00,0.75,0.25,25.0%
="5098715006146",,"Coolmore White Choc Rasp",0.00%,2.99,1,2.99,0.00,2.09,0.90,30.1%
="5060601190314",,"Haldiram Habshi Halwa 300G",0.00%,5.99,1,5.99,0.00,4.49,1.50,25.0%
="5060601190086",,"Haldirams Milk Cake 300G",0.00%,4.89,2,9.78,0.00,7.18,2.60,26.6%
="5060601190284",,"Haldirams Peda 300G",0.00%,4.79,16,65.15,0.00,57.44,7.71,11.8%
="5060601190338",,"Haldirams Sweet Delight 300G",0.00%,5.99,7,39.95,0.00,31.59,8.36,20.9%
="12345571",,"Hunts Bakery White Vanilla Ice",0.00%,1.49,7,10.43,0.00,0.00,0.00,0.0%
="8906077362589",,"Jaimin Jeera Rusk 200G",0.00%,1.29,1,1.29,0.00,0.96,0.33,25.7%
="5098715005965",,"Luxury Choco Mini Loaf C",0.00%,3.29,1,2.97,0.00,2.29,0.68,22.9%
="5000168027890",,"Mcvities Jaffa Jonuts",0.00%,0.60,5,3.00,0.00,2.07,0.93,31.0%
="8699141059101",,"Solen Luppo",20.00%,1.99,2,3.98,0.66,2.50,0.82,24.7%
="8699141059125",,"Solen Luppo Chov",0.00%,1.99,1,1.99,0.00,1.99,0.00,0.0%
Sub Category Totals for Groceries Cake,,,,,45,148.52,0.66,113.35,24.08,23.3%

Groceries Cake PM,3 Products Sold in Sub Category
Barcode,Issue Number,Description,Tax,Price,Qty Sold,Sales,VAT,Cost Value,Gr Profit,GM
="6291007904345",,"britannia choco cake",20.00%,2.79,2,5.58,0.93,4.18,0.47,10.1%
="6291007906233",,"Brittania fruit cake",20.00%,2.99,6,17.94,2.99,13.74,1.21,8.1%
="5000168006062",,"Mcv Jaffa Cake 1.49",0.00%,1.49,3,4.47,0.00,2.82,1.65,36.9%
Sub Category Totals for Groceries Cake PM,,,,,11,27.99,3.92,20.74,3.33,13.8%

Groceries Fruit & Veg,2 Products Sold in Sub Category
Barcode,Issue Number,Description,Tax,Price,Qty Sold,Sales,VAT,Cost Value,Gr Profit,GM
="2300598700213",,"Bhindi Okra",0.00%,7.99,1337,10.69,0.00,8.02,2.67,25.0%
="2300236000989",,"Big Tomatoes",0.00%,2.89,1190,3.10,0.00,0.00,0.00,0.0%
Sub Category Totals for Groceries Fruit & Veg,,,,,2527,13.79,0.00,8.02,2.67,41.8%

Groceries Fruit & Veg Non-Barcoded,4 Products Sold in Sub Category
Barcode,Issue Number,Description,Tax,Price,Qty Sold,Sales,VAT,Cost Value,Gr Profit,GM
="1130001206947",,"Coriander - Bunch",0.00%,1.39,3,3.91,0.00,3.45,0.46,11.8%
